variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	Blanc	QC	isotopes	adduct	pcgroup	name	formula	monoisotopic_mass	chebi_id	hmdb_id	kegg_id	pubchem_id	inchikey	inchi	kegg_pathway_family	kegg_pathways	kegg_subpathways	annot_level	annot_confidence	standard
M184.0858T1.12	M184T1.5	184.085815486864	184.084989482532	184.086753200492	67.3155039602342	66.8696226620543	67.694239919481	63	42	0	21	[147][M+2]+		18															
M184.1341T0.99	M184T1.6	184.134078861966	184.128926074594	184.137729113771	59.6835157694248	58.0567819585194	67.4833088242729	66	34	0	15		[M+H]+ 183.123	26															
M184.1342T6.28	M184T6.1	184.134248079209	184.133356029378	184.134735334742	376.563119152376	375.848197955861	377.480919392361	50	38	0	12			526															
M184.1524T10.3	M184T10	184.15244933551	184.151240095764	184.152892782851	617.908015424161	616.954460848011	618.941330323071	62	39	2	21			2979															
M184.1703T12.7	M184T13.2	184.170336597734	184.169302981873	184.170820741727	761.753475618645	752.721079623741	763.105645917751	60	41	1	18		[M+H-CH2]+ 197.179	23															
M184.1704T9.41	M184T9	184.170418634108	184.169762358235	184.177330280157	564.567638542468	561.22899233451	565.219178031649	59	42	1	16			65															
M184.1786T9.7	M184T10.1	184.178576494251	184.177327063701	184.179030141526	582.111006946652	580.328382890941	582.974958347884	51	35	2	14	[152][M+1]+		2997															
M184.5684T4.27	M185T4	184.568403257722	184.567049339477	184.568882045905	256.360048744326	255.476660236085	258.061073348451	20	11	3	6	[153][M]2+		2500															
M184.9609T8.43	M185T8	184.960936166017	184.960563213225	184.962191670016	505.539628405813	485.045764242422	506.980315250982	10	1	3	6			2408															
M184.9742T1.12	M185T1	184.974213602345	184.968928508037	184.978237937538	67.0606775628424	55.6735772022602	67.4833088242729	31	16	0	15		[M+H]+ 183.968	18															
M184.9863T0.07	M185T0	184.98633994316	184.98518680747	184.987010926397	4.30587198812454	1.38360285395812	6.99857911825881	65	42	2	21	[148][M+2]+		34															
M184.9864T0.59	M185T1.1	184.986384748358	184.985330022284	184.986908633295	35.6931578955289	31.6481183139944	39.5873164897988	55	36	2	17	[150][M+2]+		395															
M184.9863T11.31	M185T11	184.986286664948	184.985198958303	184.986751200004	678.390989329044	668.650546150971	692.120047229335	79	42	3	11			2571															
