sampleMetadata	project	gene	sex	mouse_id	impc_id
i74488	5490u	WT	F	635	74488
i74489	5490u	WT	F	636	74489
i74494	5490u	WT	F	637	74494
i74495	5490u	WT	F	638	74495
i74496	5490u	WT	F	639	74496
i74497	5490u	WT	F	640	74497
i74661	5490v	WT	F	649	74661
i74662	5490v	WT	F	650	74662
i74663	5490v	WT	F	651	74663
i74664	5490v	WT	F	652	74664
i74665	5490v	WT	F	657	74665
i74666	5490v	WT	F	658	74666
i74667	5490v	WT	F	659	74667
i74668	5490v	WT	F	660	74668
i74754	5490w	WT	F	665	74754
i74755	5490w	WT	F	666	74755
i74756	5490w	WT	F	667	74756
i74757	5490w	WT	F	668	74757
i74758	5490w	WT	F	669	74758
i74759	5490w	WT	F	670	74759
i74760	5490w	WT	F	671	74760
i74764	5490w	WT	F	675	74764
i75496	5490y	WT	F	607	75496
i75497	5490y	WT	F	608	75497
i75498	5490y	WT	F	609	75498
i75499	5490y	WT	F	610	75499
i75504	5490y	WT	F	611	75504
i75505	5490y	WT	F	612	75505
i75506	5490y	WT	F	613	75506
i75507	5490y	WT	F	614	75507
i75795	5490z	WT	F	630	75795
i75796	5490z	WT	F	631	75796
i75797	5490z	WT	F	632	75797
i75798	5490z	WT	F	633	75798
i75799	5490z	WT	F	634	75799
i75808	5490z	WT	F	635	75808
i75809	5490z	WT	F	636	75809
i75810	5490z	WT	F	637	75810
i93326	7021a	MX2	F	501	93326
i93327	7021a	MX2	M	502	93327
i93328	7021a	MX2	M	503	93328
i93329	7021a	MX2	M	504	93329
i93330	7021a	MX2	M	505	93330
i93331	7021a	MX2	M	506	93331
i93332	7021a	MX2	F	508	93332
i93333	7021a	MX2	F	509	93333
i93334	7021a	MX2	M	513	93334
i93335	7021a	MX2	F	517	93335
i93336	7021a	MX2	F	518	93336
i93337	7021a	MX2	F	521	93337
i93340	7021a	MX2	M	527	93340
i93341	7021a	MX2	M	528	93341
i93338	7021a	MX2	F	529	93338
i93339	7021a	MX2	F	531	93339
i93311	7020a	LAT	F	817	93311
i93312	7020a	LAT	F	818	93312
i93313	7020a	LAT	F	819	93313
i93314	7020a	LAT	M	824	93314
i93315	7020a	LAT	M	825	93315
i93316	7020a	LAT	M	826	93316
i93317	7020a	LAT	M	827	93317
i93318	7020a	LAT	F	836	93318
i93319	7020a	LAT	F	841	93319
i93320	7020a	LAT	M	842	93320
i93321	7020a	LAT	M	848	93321
i93322	7020a	LAT	M	849	93322
i93323	7020a	LAT	F	854	93323
i93324	7020a	LAT	M	859	93324
i93325	7020a	LAT	F	862	93325
