variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M657.7141T11.01	metabolomics_liver_hilic_neg	MX2	hilic			NA												M658T11	657.714097554103	660.386351641364	[816][M+1]2-		33	439	@M656.7116T11|+13C|@M657.2128T11|+13Cdb	-0.250843027348157	0.576546678519016	0	-0.0939328227707659	0.831974240602648	0	1.68523124159581		0
M568.2685T1.34	metabolomics_liver_hilic_neg	MX2	hilic			NA												M568T1	568.268451137497	80.5431910309731	[759][M]-	[M-H+NaCOOH]- 501.291	5	399	@M569.2722T1.35|-13C	0.145037813961512	0.577909175811107	0	-0.289048551167415	0.107767756368932	0	0.74930659372312		0
M191.0198T5.14	metabolomics_liver_hilic_neg	MX2	hilic			NA												M191T5	191.019828169797	308.146796278858		[M+Cl]- 156.052	9	NA		-1.95573448319827	0.57892269032924	0	0.685529139323581	0.813165345251553	0	0.675047293922177		0
M378.0965T6.58	metabolomics_liver_hilic_neg	MX2	hilic			NA												M378T7	378.096498107575	394.850736680968		[M+Cl+NaCOOH]- 275.138	7	NA		-0.435242504029127	0.57892269032924	0	-0.219308810139342	0.765338048915201	0	0.993452894181866		0
M93T2.1_Phenol	metabolomics_liver_hilic_neg	MX2	hilic	Phenol	CHEBI:15882	2	a,b	C00146	Amino acid metabolism	Tyrosine metabolism	Others	HMDB00228	CID996	C6H6O	94.04186	ISWSIDIOOBJBQZ-UHFFFAOYSA-N	InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H	M93T2.1	93.034630663796	101.598352120234		[M-H-CO2]- 138.028	37	NA		0.237809365076483	0.57892269032924	0	-0.168565785082828	0.62791236299876	0	0.721047124981341		0
M575.1836T10.83	metabolomics_liver_hilic_neg	MX2	hilic			NA												M575T11	575.1836241502	649.758230326628			2109	375	@M515.1621T10.86|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M575.6852T10.83|-13Cdb|@M576.1863T10.83|-13C	-0.222917962129593	0.57892269032924	0	-0.139062693388922	0.705747561062178	0	1.65667242135241		0
M189.1134T1.53	metabolomics_liver_hilic_neg	MX2	hilic			NA												M189T2.5	189.113371633115	91.7781560433008			11	NA		0.333530659062212	0.578948140587556	0	-0.225040464637772	0.649722421754934	0	0.579841580996294		0
M149.001T1.76	metabolomics_liver_hilic_neg	MX2	hilic			NA												M149T2.1	149.000956892353	105.356064991361			37	NA		-1.35075447173029	0.579601883266131	0	-0.522994962319979	0.826563874633284	0	0.815781583211985		0
M407.2042T3.02	metabolomics_liver_hilic_neg	MX2	hilic			NA												M407T3	407.204183648672	181.097011715034			22	NA		-0.578579611029285	0.579601883266131	0	-1.88465106791616	0.000927594211485815	1	0.628122629852348		0
M149.0333T8.99	metabolomics_liver_hilic_neg	MX2	hilic			NA												M149T9.1	149.033302571079	539.239464349084	[119][M+2]-		748	NA		-0.351711369211191	0.579601883266131	0	-0.184674971488093	0.758756443001305	0	0.922463199573257		0
