dataMatrix	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M130.0661T10.3	11.4492810408649	11.6498138081409	11.8139481270377	11.0570216117814	10.7360117875883	11.1534104006001	10.6352745913469	11.8153419437689	10.8941655718623	9.43143350146662	10.4543618309208	11.3094846006363	10.6651561326688	9.62941236595993	11.6288502472944	11.9692613432493	12.2366148252563	11.6102244425869	11.6263031579964	12.850797282806	12.6877954674685	13.0006567601502	12.7426294679231	10.2893139128426	13.3286060958723	13.1105621201819	12.5806745011916	12.2334621419168
M540.2731T12.9	8.46165085937641	8.36127050618467	8.51512252043872	7.919688220884	7.0721644540487	6.91100405928203	7.63072166749744	8.32549092324857	8.88100423871692	9.56495525173528	9.69683762553694	7.93982066629958	8.54013022146628	9.15061042881206	9.96652205915943	9.03097683856416	10.0932496987481	9.29178033060871	10.0943018706676	9.64213387622488	9.26752082074113	9.86978674684997	9.31364558400985	9.78187813162962	10.7472272464029	10.1397536812579	9.76489351974496	9.78580328068402
M516.2731T12.9	7.96297374303608	9.55311466335355	8.95870275154322	8.2985510072209	7.6063500199532	8.77842140224653	7.97787085986657	8.54417907808396	8.90736227276894	9.28676617836678	10.0383830253849	8.39818378719029	8.93712221260246	9.59016752617318	9.79412793869883	9.26303142340922	10.3505119539632	8.8214109030125	9.94444272128106	9.84627780376678	9.16189600879891	10.2378773804646	9.77077476143522	10.2395693543468	11.3194179291214	10.2449291243214	10.3754590295033	10.0960023069012
M87.0087T1.2	16.3325159621623	16.343152202515	16.4680177428409	15.9896931176092	16.2366965571322	16.260569175417	16.4666046121218	16.5606938932889	16.858567684753	16.5609432531549	16.4437357761925	16.8830438506429	16.6797349296013	16.3315224024454	17.0288069895509	16.8753731000124	16.7732837026075	17.258703826445	16.5743052501448	16.899677095573	16.7448356533581	16.7055868490232	17.2312800783848	16.5884420090371	16.9793585121967	16.9758681201918	17.1535457234122	16.9023228294708
M174.032T0.7	9.37896915190039	9.6373069202726	9.58574539681333	9.341462965616	9.74752572856625	9.63778597439358	9.33811727480149	9.17689762622341	9.50267969378891	8.84262400330547	9.81821892970409	9.78777148379903	9.25881666452484	9.58863792270191	9.5832243637909	9.71304752518641	10.2384939791923	9.76606156390933	9.78904305648873	10.1658102465202	9.82169546092925	9.92599254809687	9.89603618167202	9.7444442432252	9.66209806266011	9.41879737381031	10.0727265703065	10.0274066302076
M155.0097T1.2_2	12.1853999261385	12.0163283562498	12.5587581884102	12.1965342619093	11.0258054129238	12.1570271584252	12.1465584061542	12.6850620073824	12.7797323906953	11.7908348130883	12.2703626547824	12.2287531082066	12.4290011220437	11.8991404240598	12.6877700994792	12.6307842070782	12.8057615825256	13.1150612717262	12.8769931772465	12.5198043254194	12.735417302993	12.075631363781	12.9545213334954	12.7354285614948	12.9835673735437	12.5837004179332	12.8070663803848	12.6208568815092
M133.0142T1.2	18.0727753455245	18.4807307024424	18.2604202394143	18.4177994137097	18.118928140507	18.0854336259226	18.057818674968	18.6493930075268	18.41999782082	17.6314327015906	17.6919027049009	17.7532715850851	18.9021373372308	18.1947422480895	18.6440948572629	18.6053456469808	18.7501702478294	18.5305519237279	17.8429984825389	18.5890569729637	18.8555920348743	18.8342341109742	19.1059234292646	18.2964118152256	19.0370074647704	19.2409559355965	18.9439728331393	18.774511106188
M181.0504T7.6	10.3635976787285	11.0502935990581	10.3823141101387	10.322777764918	10.3146214561011	10.2877793638499	9.3081039663479	9.38001233464218	10.4808320730743	8.95746286260272	8.95411467385352	9.93304316068522	11.1704007242892	10.8942081309008	10.2782407558293	10.241004955223	11.4274986626252	10.5874296257349	10.0683013722053	10.3821972310799	10.8500391790556	11.4979624023999	10.7955627672727	10.5811747329128	10.843034565546	10.5322979021309	10.3585876877777	11.5010354707228
M307.0338T1.2	9.78386085639046	9.66399686726166	9.57541064185823	9.86183710946748	9.88979855078951	9.84859996791945	9.78232763169347	10.4002380693777	10.1508874364992	9.81791385804197	9.45004904660854	9.76540813168489	9.59999638840961	9.50649806565391	9.70334166945271	9.32980923407114	9.3105058617696	9.95010553718378	9.52362326031567	9.51098429112548	9.68203813845818	8.56078471462029	8.89765044686141	10.0335337054727	9.4282244071586	9.30658545318257	8.88463638174072	9.51641327010895
M154.9984T1.2_1	12.2313649839763	11.9139229877413	12.5627676318205	12.2724382258968	12.3959266700638	12.2165324807676	12.2259020359646	12.0712039424222	12.6877736357295	11.8274001147132	12.300792951946	12.1972435196419	12.5088429963965	11.886384378317	12.491180925153	12.6970363244162	12.7837297978464	13.1682687483672	12.127538882389	12.464858460718	12.6843791699813	12.1488770980586	12.8629926639581	12.7317402478301	12.6266122445326	12.5124461823245	12.8338631126192	12.6368050714312
