variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M211T8_.�...Jasmonic.acid.Jasmo.	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil	(±)-Jasmonic acid;Jasmonic acid	CHEBI:18292	C08491	Lipid metabolism	alpha-Linolenic acid metabolism	alpha-Linolenic acid	HMDB32797	CID5281166	C12H18O3	210.12559	ZNJFBWYDHIGLCU-HWKXXFMVSA-N	InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10-/m1/s1	M211T8	211.133028883381	452.140920039642			374	130	@M229.1436T7.53|-(H2O)	2.03038673848273	0.180064861881387	0	-0.773264294396922	0.788427999502129	0	0.959629370050232		0
M163.7775T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M164T2.12	163.777519934413	113.145250917685		[M+K]+ 124.82	2	NA		-0.34880653970113	0.180237255209254	0	0.0398892263833854	0.97404028693271	0	1.01854644007764		0
M285.6112T8.13	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M286T8	285.611201099541	487.547516591908	[431][M+1]2+		692	NA		1.51148686617485	0.180248160996911	0	1.80800423560248	0.209300654193599	0	0.816940645381675		0
M320.1356T1.53	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M320T2.2	320.135613947291	91.6094109314978			2570	NA		0.292836625710006	0.180391707444489	0	-0.430027378391429	0.0746174211601154	0	0.908731777015768		0
M436.104T1.16	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M436T1.1	436.104017155837	69.8689759551921			1689	NA		0.733999070310405	0.180424878284907	0	-0.653346938472556	0.363432938023386	0	0.911510036972865		0
M545.3434T11.97	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M545T12	545.343392308925	718.168213610353	[1116][M+1]+		12	618	@M523.3614T11.96|+Na|@M544.3401T11.97|+13C	-1.28679632499359	0.180514880254558	0	-1.03273487442032	0.396832719630623	0	0.746287114874386		0
M395.5597T4.31	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M396T4	395.559745965933	258.830472049205		[M+Na+NaCOOH]+ 304.575	49	NA		0.494848341050508	0.180781864788869	0	0.338093144874536	0.472366836946465	0	0.938752854936366		0
M495.8333T10.77	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M496T11	495.833266440341	646.017327181985		[M+K+NH3]+ 439.841	22	374	@M432.8039T10.81|+(NH3)+(HCOOH)|@M451.8066T10.81|+(C2H4O)	4.27567287520215	0.181195404487691	0	-0.810384447631314	0.927758194844692	0	1.0443535277067		0
M317.1837T2.56	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M317T3.1	317.183686481643	153.457320876816			82	NA		0.678073405268663	0.181195404487691	0	-0.620623734091305	0.345322641270068	0	0.92826991544613		0
M227.1039T2.27	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M227T2.1	227.103885782462	135.960773185624	[261][M]+		75	154	@M228.1071T2.26|-13C	-0.266211203884067	0.181195404487691	0	-0.72361192534828	0.00590907271219499	1	0.430756925514991		0
M186.0552T0.83	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M186T1.4	186.055240004486	49.5488975878021		[M+Na]+ 163.069	4	NA		0.230107345926974	0.181195404487691	0	0.058408506445609	0.788357141987699	0	0.924692369478746		0
M170.4227T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M170T2.45	170.422706211055	113.153505517039			2	NA		-0.393304605381754	0.18144368707837	0	0.186366944231272	0.712762595315283	0	0.8193776772446		0
M158.2023T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M158T2.28	158.202305116026	113.200351380098		[M+H+NH3]+ 140.171	2	NA		-0.379084471886536	0.181444059511393	0	-0.00111466162854157	0.954465991856643	0	0.84548508801498		0
M159.2275T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M159T2.33	159.227519002243	113.150768158571		[M+K]+ 120.272	2	NA		-0.328833188671123	0.182277611633835	0	0.138417924138828	0.758749304191366	0	0.994494604023448		0
M659.9037T6.19	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M660T6.4	659.903734004677	371.4711991592			64	NA		0.264359217399337	0.182547980892461	0	-0.290376698698328	0.235377854821564	0	0.97654253414111		0
