variableMetadata	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M282T6_Guanosine	18.92471713	18.77998892	18.49227179	19.38267405	19.31862335	18.71227173	19.85163209	19.22541081	19.86381604	19.09434371	19.69748448	19.77477837	19.21970337	18.77390189	20.29235758	19.84926688	20.16294936	20.74494467	20.40543859	20.90663815	20.99072584	19.94270349	19.56258007	20.69652612	20.99707746	20.39645845	20.67968369	19.92100757
M920.3136T5.04	16.88087728	18.05808952	16.94441696	17.35054386	17.39949156	17.08638091	18.13676888	17.72312695	18.35448701	18.59294714	17.85968461	18.45168402	18.55480953	17.26010819	19.0905358	18.84541409	19.36260973	19.40610305	19.81610101	19.28825532	19.30122578	19.02609464	18.81997634	19.83078721	19.56228268	19.44434138	19.23629547	19.01234655
M765.1981T9.64	13.77858026	14.00415023	14.53982099	14.23868014	13.10257432	12.60925771	14.91529727	14.59189863	14.3235868	14.68771248	12.72669011	14.76915755	12.95855235	14.04338877	15.75795248	14.93478784	15.33779749	17.3358788	17.93606565	17.70678873	17.56905529	15.48683062	14.98657981	17.18715003	16.61493266	16.39191701	16.7705955	15.06539973
M462.1471T8.32	17.34678986	17.10414723	17.34864517	15.99914275	17.32959928	17.10996835	17.37499699	17.30062247	17.34305903	17.12991889	17.50183408	17.62049907	17.43042152	17.00631402	16.97199926	15.66973602	16.06792504	16.02702952	16.43044553	16.22256569	16.35434737	15.24224708	16.25529953	16.42974083	16.45207711	16.41319983	16.2388016	15.9475785
M618.0859T8.99	14.93023467	16.46221835	15.92209353	15.04955802	13.82685034	15.3075783	15.84431591	15.15768917	16.72139562	16.5608924	15.69083173	16.0973606	17.14854609	16.31026573	17.70882322	17.89747089	18.33317414	18.87914945	19.32183277	19.4608836	19.22931993	17.28320142	17.39478254	19.21523223	18.17912233	18.66580605	17.74693938	17.40235592
M579T11_Uridine.5..diphosphate.g.	9.379717989	11.84844494	11.18240367	12.65148004	11.27518809	9.866532949	11.76531552	11.29040885	10.60542211	11.92700308	10.39141868	11.32600358	12.10584239	11.28466276	13.869349	14.54551777	14.71064072	14.78243263	14.9038282	15.33733095	14.65325431	12.72384649	13.39067279	15.0332337	13.84479598	14.25258635	13.90646223	12.61589696
M606T9_Uridine.5..diphospho.N.a.	20.51408315	21.25359938	21.55318209	21.16815364	19.99628452	20.05846876	22.0185296	21.26600927	21.76081089	21.04864651	21.26045098	21.26172135	21.03800936	21.36885598	21.70844782	22.01665257	22.49794586	22.45501159	22.76727744	22.51695179	22.50116854	22.29807516	22.34072784	22.53036228	22.35613652	22.12112591	22.23418183	22.11792333
M348.5228T10.34	16.21566381	15.91221525	15.62659485	15.86744816	15.91235866	15.91372063	15.47589394	15.91121595	15.16553239	15.33144323	15.53320074	15.27827811	14.92556649	15.13782769	15.73004205	15.85327763	16.56554393	16.82118852	17.63983175	17.37745966	16.94213532	17.11599766	16.44957572	16.97852278	17.01419269	16.39932783	16.84390756	16.8778365
M803.2355T5.13	17.75207156	19.74994551	17.55203487	17.87435344	18.05184459	18.04034913	18.79308189	18.49221506	20.21677072	19.28496504	19.15528297	20.46102174	19.6725039	18.20372031	20.34701033	20.51058648	21.11417697	20.63489966	21.12311922	21.668344	21.28756867	19.80444649	20.8823296	21.42401555	21.21727853	21.16716698	21.14457672	20.19379965
M346T8_5..AMP.5..Adenosine.mono.	21.54901517	21.23625891	21.1771482	20.85378088	21.06992369	20.47001734	21.6833579	21.32800265	20.86864851	21.15124948	21.01546678	20.89796212	20.23338679	20.22822097	22.40819107	21.72741862	22.47279841	23.63174969	24.86611493	24.79907387	24.32585365	22.17958507	21.91184545	23.23345233	22.89443682	22.36615196	22.64915682	22.49501594
M110.9854T8.59	21.08816879	21.09127936	21.28187122	20.07634105	20.78640568	19.62039225	21.34235748	21.34860424	19.65838458	19.61104484	19.49525538	20.2375512	21.21339645	20.84798188	20.91237245	22.07235859	22.51199384	22.17627119	23.05747556	23.12635687	22.79581084	21.64445673	22.72915083	22.56254591	22.3024754	22.35819689	22.05881411	21.52998868
M404.1321T10.38	13.53484027	14.02674388	13.55554897	8.926326539	13.41666164	12.91509976	15.31139498	14.60312848	14.02950292	14.12284013	12.51837531	13.16390184	12.65523017	13.98419769	15.03026925	16.53499767	16.7141328	17.42151014	17.32651024	17.30564141	16.94708327	15.88490027	15.93412461	17.04884337	16.17933221	16.12201767	16.2030979	15.12798747
M560.1837T9.34	18.13454564	17.31121437	17.31082931	17.52447055	18.27245574	17.73639929	17.04927106	18.09681088	18.06654333	17.5063223	17.94396733	18.06625741	17.77099741	16.79367316	17.08309388	15.47365566	16.05292588	15.66273346	15.97324757	16.32793502	16.04305634	17.13417059	16.62605264	16.16983049	16.66137729	16.29925883	16.704594	16.69369657
M617.2418T10.37	17.09863973	16.26240009	16.15236586	16.00318693	16.67537132	16.13600521	15.44832316	16.58228343	16.38532773	16.02780883	16.19111668	16.08523675	16.18385613	15.70916218	15.62220457	13.56612541	14.2904437	13.6808254	14.16961423	14.33118008	13.82271521	15.98137864	15.39098978	14.83593838	15.05093059	14.86551774	15.05858582	14.70343968
M649.2679T9.82	18.06633625	17.46585572	17.9139646	17.39535171	17.81172589	17.49344426	17.32922085	17.58557655	17.70109186	17.7524094	17.59060971	17.44476579	17.83598931	17.76119475	17.28805408	16.08622498	16.72107916	16.65469895	16.51515528	15.8900032	15.99115444	17.26289131	17.33355022	16.7011819	16.77421053	17.11492677	16.80452306	16.85988658
M527.1232T8.12	16.41352001	16.52977292	16.50908451	16.07120612	16.06452469	15.68756377	16.98412247	15.94600157	16.23950698	16.1757998	16.36188142	15.95016059	15.07952395	15.35530016	17.08256385	16.4581879	17.70425964	19.02912139	20.4972408	20.12878605	19.58942293	17.49869575	16.87327948	18.54769022	18.20093164	17.23122212	18.2139576	17.43794465
M302.5339T9.27	19.39963404	20.17785382	20.50019126	20.06478881	18.82156162	19.0570869	20.91136492	20.32831445	20.6190835	20.25878224	20.23495422	20.16782605	19.72974039	20.2337051	20.76242016	20.7045918	21.36368081	21.21523081	21.58231475	21.32813198	21.28673823	21.32346109	21.25214105	21.41502529	21.23202034	20.95217318	21.23926054	21.19289116
M356.0159T9.27	16.41893571	14.56802617	16.5374614	15.56893376	15.94934023	15.62098353	16.7807243	16.4401564	16.04138344	16.38364321	16.02029657	16.29609582	15.56190097	16.35445602	17.51229449	16.25090034	16.80350177	18.38222083	18.74916301	18.815827	18.49536359	17.05309436	17.27944826	17.89975283	17.7300455	17.28140485	17.93891738	16.95386791
M876.2553T10.45	16.42366729	16.05665634	16.01124713	16.73926112	16.85544034	16.48125359	16.39495633	16.48111544	16.480528	16.98025228	16.93558636	16.63099227	16.72563786	16.01733019	16.48179549	15.39815113	15.55513821	15.72124848	15.77475824	15.65223018	15.51225127	15.94616176	15.68812489	15.77175355	15.76661379	15.86518423	15.56356631	16.21774286
M615.1551T8.93	11.56406182	13.47941399	14.57705878	11.05363338	10.76849202	11.61198658	12.49099549	12.23458634	11.99370691	10.06884275	12.47053	10.06299593	14.32052135	14.61831839	14.79536192	16.32266264	16.40810679	16.5363471	15.68244244	15.95338552	16.30072184	16.32670825	14.49750447	14.88992314	15.17639836	16.43527698	15.92212605	14.69819297
M866.2204T9.75	13.31408753	12.66141805	13.30017522	12.5095375	11.85432104	11.19853221	15.15257045	13.70410682	14.33747068	14.80811602	14.28090993	13.67694216	11.95211767	10.30006537	15.57316136	13.41390026	14.33824124	16.94916899	18.44056749	18.08021378	17.79557868	13.47188602	13.81015487	17.39368456	16.04413388	14.72132513	15.68594562	14.28447133
M640.1867T8.97	19.5572653	18.5819861	18.67899928	19.22762323	19.67861372	19.03846465	18.9031431	19.07013038	18.99153762	18.78834524	19.56098805	19.48682992	18.03845554	18.31810938	18.40233718	16.07895447	17.16788557	17.31550694	16.87447832	16.66357061	16.7931435	18.40246418	17.66949756	17.061003	18.1373269	17.07307774	18.28772049	18.03373378
M591.1423T9.83	14.83465424	14.17192892	13.75319376	14.77762313	14.99582323	14.07212842	14.06351053	14.2014608	14.98100663	14.73891558	15.09229673	14.88121483	14.49251981	14.51061336	14.43069559	13.47813508	12.9662017	13.44159682	13.28336028	13.0312239	13.57085779	14.10898339	13.36482136	13.31343577	13.57054832	14.02388601	13.60994514	13.71928399
M588T10_Guanosine.5..diphospho.Î.	14.45064874	15.5703221	15.89465106	14.25289749	14.39484917	14.52097035	15.53259548	14.97360545	14.93973071	15.34531792	14.10152271	14.46132724	16.01933293	16.03672418	15.5039698	16.70381302	17.01183873	16.87026838	17.10472774	16.73954067	16.89618338	15.76859943	16.87941693	17.03744185	16.4920918	16.72011464	16.31878869	15.6177306
M279.5883T9.33	16.72978004	15.72770352	15.76353555	16.14511538	17.00656386	16.27067913	15.32120234	16.81965022	16.73186127	16.12310717	16.53895731	16.70358054	15.96975344	15.33279044	15.73390508	12.9716603	14.31745431	13.3566129	13.30916368	14.43439888	14.35698834	15.67026869	15.08932758	14.22372571	14.99248433	13.92911691	14.9581358	15.35026829
M593.158T9.79	20.04778026	19.45082623	19.54865656	19.94236989	20.11745921	19.92835398	19.70977916	19.80133229	20.2158446	20.39129814	20.22645453	20.18234464	19.92806795	19.65367169	19.82442476	18.17936098	18.68741191	18.99060952	19.25189173	18.82160242	18.5144806	19.69422779	18.87638385	19.4410591	18.87597877	19.16804502	19.36593365	19.31695742
