variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M153.0665T1.35	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M153T1.3	153.066500733161	80.893196586099			2795	48	@M154.0698T1.35|-13C	0.263044221391915	0.388790221319975	0	0.119428783312717	0.560221723416404	0	1.79803367279264		0
M372.1873T5.17	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M372T5.2	372.187332871729	310.119544814419			3700	NA		-0.326581100348465	0.390003017595109	0	-0.539863460844359	0.00470960037532818	1	1.33314031760436		0
M507.1986T1.88	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M507T2	507.198568325453	112.729508475118			6	252	@M403.1562T1.79|+(C4H8O3)	-2.29707707947576	0.39008501728734	0	-2.88694492365208	0.0413197701310482	1	1.77851118547127		0
M349.1003T0.95	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M349T1.1	349.100346205915	57.0562476740866			33	NA		-0.545969159550582	0.39008501728734	0	-0.466082982168532	0.212797726765681	0	1.969553836516		0
M129.0346T1.25	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M129T1.30	129.034552139917	74.9943772732138		[M+Na]+ 106.049	1	NA		-0.54173927340517	0.39008501728734	0	0.271912151192875	0.460411813133067	0	1.53031188297048		0
M670.4727T15.13	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M670T15.1	670.472723853627	908.015763814917			4122	NA		-2.07828884508548	0.399324668087128	0	-0.970841300401602	0.551646013644427	0	2.01112878579917		0
M828.9291T4.98	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M829T5.2	828.929053016082	298.885964402281			227	NA		1.97870319679171	0.399324668087128	0	-1.05559045324444	0.437518843075426	0	2.02689115286659		0
M296.1074T1	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M296T1.2	296.107429171033	59.8186873189492			988	NA		3.14686441550188	0.399432907144093	0	0.782634513091308	0.797725691711077	0	2.20653726097741		0
M542.2851T5.15	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M542T5	542.285070543552	308.875317463612			80	NA		-1.0651552019389	0.399432907144093	0	-0.501646065572524	0.549009680993776	0	2.36647698063418		0
M377.1303T10.31	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M377T10	377.130257770272	618.363119501189			2965	NA		0.638442669195975	0.399432907144093	0	1.62994137984675	2.18162852249992e-05	1	1.4636455063321		0
M594.6162T5.42	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M595T5	594.616223698006	325.235243869831			1157	NA		-0.589669030493468	0.399432907144093	0	-0.558655590257441	0.158135285184434	0	1.37971813604954		0
M311.0712T5.9	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M311T6	311.07122668256	353.909025867175			4196	NA		-0.51777692028976	0.399432907144093	0	-0.485532737526105	0.163186081039528	0	1.42549068550771		0
