variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M324.1038T1.16	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M324T1.4	324.103838397364	69.6595894830468	[557][M+2]+		50	NA		-0.231094337277291	0.49358810340906	0	-0.089710748411342	0.80775634612665	0	0.57124163222485		0
M437.5972T4.7	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M438T5	437.5972019121	281.737388589258		[3M+3K-H]2+ 253.099	71	NA		1.28248490869922	0.493894182029434	0	0.851392964867642	0.624004878916936	0	1.46589518166409		0
M127.9224T1.26	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M128T1.26	127.922355495055	75.4626288645087		[M+Na+NH3]+ 87.9098	1	NA		-0.231928371807019	0.493975798794503	0	-0.129230171843869	0.70082325601489	0	1.57202929800478		0
M608T1_Uridine.5..diphospho.N.a.	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil	Uridine 5'-diphospho-N-acetylglucosamine;Uridine diphosphate N-acetylglucosamine;UDP-N-acetylglucosamine;UDP-N-Acetyl-α-D-glucosamine	CHEBI:16264	2	a,b	C00043	Carbohydrate metabolism	Amino sugar and nucleotide sugar matabolism	UDP sugar	HMDB00290	CID445675	C17H27N3O17P2	607.08157	LFTYTUAZOPRMMI-CFRASDGPSA-N	InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1	M608T1	608.091355278196	79.709229917179	[1235][M]+	[M+H]+ 607.087	56	NA		0.218897293825123	0.493975798794503	0	-0.416651621069853	0.0988425911371515	0	1.26072072399456		0
M940.1731T6.19	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M940T6.5	940.173078912609	371.498337835661			2450	NA		0.173888041674257	0.494313822072317	0	0.0145832350842774	0.981045924379459	0	1.38414305505113		0
M508.2472T1.78	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M508T2	508.247226065927	106.732169026666	[1022][M+1]+		63	491	@M507.2436T1.78|+13C	-0.367436574134086	0.494365426164653	0	0.11854085189214	0.80775634612665	0	1.33440348254815		0
M534.8969T5.72	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M535T6.1	534.896917979234	343.26568837802	[1093][M]+	[M+Na+K-H]+ 473.941 [M+K]+ 495.939	58	NA		-0.497348321158837	0.494391050802796	0	-0.0566411276313019	0.967983064634538	0	0.644654581208833		0
M646.7728T5.02	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M647T5.1	646.77276947864	301.112627788292		[M+Na]+ 623.772	8	NA		-0.134195311854972	0.494391050802796	0	0.318022131997925	0.038984809986116	1	0.436760797462407		0
M171.0662T4.21	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M171T4	171.066152965928	252.337389497608			1725	NA		0.321163836992849	0.49516444824897	0	-0.617536227449177	0.0958446442374665	0	0.777019604907726		0
M269.1752T4.35	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M269T4.2	269.175233087407	261.10593629362			1793	NA		-0.355368951568485	0.495330210992083	0	0.0591580918531616	0.896794099227434	0	1.59330268540394		0
M484.7592T3.53	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M485T4	484.759165860774	211.584570229903			2952	NA		-0.278845519293274	0.495330210992083	0	0.0853232432011062	0.816586474239552	0	1.65677369024573		0
M146.1182T0.81	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M146T1.5	146.118207077467	48.588230127122		[M+2Na]2+ 246.248	4	NA		0.226557739121649	0.495479853541867	0	0.681217442849434	0.00150166606595811	1	0.845760463869856		0
